scheduler,code,q,columns,layers,qubits,volume,idle,sec,floor,best_cols,q_rel,cols_rel,collapsed_to_serial,n_methods,common,q_n,cols_n,q_lo,q_hi,c_lo,c_hi
greedy,"[[20,2,6]]",57,49,45,57,2666.0,127.0,32.6,45,27,1.2666666666666666,1.8148148148148149,False,3,True,0.22641509433962265,0.30985915492957744,45,98,27,98.0
greedy,"[[20,2,6]]",58,48,44,58,2628.0,156.0,41.6,45,27,1.288888888888889,1.7777777777777777,False,3,True,0.24528301886792453,0.29577464788732394,45,98,27,98.0
greedy,"[[20,2,6]]",59,46,42,59,2576.0,138.0,30.2,45,27,1.3111111111111111,1.7037037037037037,False,3,True,0.2641509433962264,0.2676056338028169,45,98,27,98.0
greedy,"[[20,2,6]]",60,46,42,59,2576.0,184.0,20.6,45,27,1.3333333333333333,1.7037037037037037,False,3,True,0.2830188679245283,0.2676056338028169,45,98,27,98.0
greedy,"[[20,2,6]]",61,44,40,61,2504.0,180.0,19.6,45,27,1.3555555555555556,1.6296296296296295,False,3,True,0.3018867924528302,0.23943661971830985,45,98,27,98.0
greedy,"[[20,2,6]]",62,44,40,61,2504.0,224.0,19.0,45,27,1.3777777777777778,1.6296296296296295,False,3,True,0.32075471698113206,0.23943661971830985,45,98,27,98.0
greedy,"[[20,2,6]]",63,44,40,61,2504.0,268.0,19.1,45,27,1.4,1.6296296296296295,False,3,True,0.33962264150943394,0.23943661971830985,45,98,27,98.0
greedy,"[[20,2,6]]",64,41,37,64,2428.0,196.0,17.3,45,27,1.4222222222222223,1.5185185185185186,False,3,True,0.3584905660377358,0.19718309859154928,45,98,27,98.0
greedy,"[[20,2,6]]",65,41,37,64,2428.0,237.0,25.6,45,27,1.4444444444444444,1.5185185185185186,False,3,True,0.37735849056603776,0.19718309859154928,45,98,27,98.0
greedy,"[[20,2,6]]",66,40,36,66,2447.0,193.0,32.6,45,27,1.4666666666666666,1.4814814814814814,False,3,True,0.39622641509433965,0.18309859154929578,45,98,27,98.0
greedy,"[[20,2,6]]",67,39,35,67,2430.0,183.0,16.2,45,27,1.488888888888889,1.4444444444444444,False,3,True,0.41509433962264153,0.16901408450704225,45,98,27,98.0
greedy,"[[20,2,6]]",68,38,34,68,2396.0,188.0,23.6,45,27,1.511111111111111,1.4074074074074074,False,3,True,0.4339622641509434,0.15492957746478872,45,98,27,98.0
greedy,"[[20,2,6]]",69,37,33,69,2379.0,174.0,15.7,45,27,1.5333333333333334,1.3703703703703705,False,3,True,0.4528301886792453,0.14084507042253522,45,98,27,98.0
greedy,"[[20,2,6]]",70,37,33,69,2379.0,211.0,15.6,45,27,1.5555555555555556,1.3703703703703705,False,3,True,0.4716981132075472,0.14084507042253522,45,98,27,98.0
greedy,"[[20,2,6]]",71,37,33,69,2379.0,248.0,22.6,45,27,1.5777777777777777,1.3703703703703705,False,3,True,0.49056603773584906,0.14084507042253522,45,98,27,98.0
greedy,"[[20,2,6]]",72,36,32,72,2361.0,231.0,14.9,45,27,1.6,1.3333333333333333,False,3,True,0.5094339622641509,0.1267605633802817,45,98,27,98.0
greedy,"[[20,2,6]]",73,35,31,73,2345.0,210.0,20.5,45,27,1.6222222222222222,1.2962962962962963,False,3,True,0.5283018867924528,0.11267605633802817,45,98,27,98.0
greedy,"[[20,2,6]]",74,34,30,74,2308.0,208.0,13.6,45,27,1.6444444444444444,1.2592592592592593,False,3,True,0.5471698113207547,0.09859154929577464,45,98,27,98.0
greedy,"[[20,2,6]]",75,34,30,74,2308.0,242.0,13.9,45,27,1.6666666666666667,1.2592592592592593,False,3,True,0.5660377358490566,0.09859154929577464,45,98,27,98.0
greedy,"[[20,2,6]]",76,33,29,76,2296.0,212.0,24.9,45,27,1.6888888888888889,1.2222222222222223,False,3,True,0.5849056603773585,0.08450704225352113,45,98,27,98.0
greedy,"[[20,2,6]]",77,33,29,76,2296.0,245.0,31.4,45,27,1.711111111111111,1.2222222222222223,False,3,True,0.6037735849056604,0.08450704225352113,45,98,27,98.0
greedy,"[[20,2,6]]",78,33,29,76,2296.0,278.0,24.5,45,27,1.7333333333333334,1.2222222222222223,False,3,True,0.6226415094339622,0.08450704225352113,45,98,27,98.0
