q,columns,layers,qubits,volume,idle,sec,family,method,label_raw,n_labels,q_col,excel_row,n_filled,block_key,instance,idle_true,footprint,util
77,56,52,77,4034,278,39.4,random,annealed,378,1,24,16,7,64,N=378,278,4312,0.9355287569573284
78,56,52,77,4034,334,39.3,random,annealed,378,1,24,17,7,64,N=378,278,4312,0.9355287569573284
79,56,52,77,4034,390,39.1,random,annealed,378,1,24,18,7,64,N=378,278,4312,0.9355287569573284
80,54,51,80,4028,292,39.2,random,annealed,378,1,24,19,7,64,N=378,292,4320,0.9324074074074075
81,54,51,80,4028,346,39.3,random,annealed,378,1,24,20,7,64,N=378,292,4320,0.9324074074074075
82,51,47,82,3861,321,38.8,random,annealed,378,1,24,21,7,64,N=378,321,4182,0.9232424677187948
83,51,47,82,3861,372,39.2,random,annealed,378,1,24,22,7,64,N=378,321,4182,0.9232424677187948
84,51,47,82,3861,423,39.7,random,annealed,378,1,24,23,7,64,N=378,321,4182,0.9232424677187948
85,51,47,82,3861,474,39.0,random,annealed,378,1,24,24,7,64,N=378,321,4182,0.9232424677187948
86,48,44,86,3824,304,41.6,random,annealed,378,1,24,25,7,64,N=378,304,4128,0.9263565891472868
87,44,40,87,3535,293,39.4,random,annealed,378,1,24,26,7,64,N=378,293,3828,0.9234587251828631
88,44,40,87,3535,337,39.0,random,annealed,378,1,24,27,7,64,N=378,293,3828,0.9234587251828631
89,44,40,87,3535,381,38.8,random,annealed,378,1,24,28,7,64,N=378,293,3828,0.9234587251828631
90,44,40,87,3535,425,39.3,random,annealed,378,1,24,29,7,64,N=378,293,3828,0.9234587251828631
91,44,40,87,3535,469,38.9,random,annealed,378,1,24,30,7,64,N=378,293,3828,0.9234587251828631
92,43,39,92,3553,403,38.8,random,annealed,378,1,24,31,7,64,N=378,403,3956,0.8981294236602629
93,41,37,93,3463,350,38.6,random,annealed,378,1,24,32,7,64,N=378,350,3813,0.9082087595069499
