code,"[[21,2,6]]",,,,,,,,code,"[[20,2,6]]",,,,,,,,code,"[[17,2,6]]",,,,,,,,code,"[[16,3,5]]",,,,,,,,code,"[[19,2,6]]",,,,,,
seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec
,55,70,67,55,3628,222,46.6,,,57,72,68,56,3788,316,46.8,,,51,75,71,50,3531,294,44.2,,,52,52,48,40,2006,698,39.1,,,53,72,68,53,3625,191,44.6
,56,70,67,55,3628,292,45.8,,,58,64,61,58,3540,172,46.9,,,52,73,70,52,3570,226,43.8,,,53,52,48,40,2006,750,39.1,,,54,71,67,54,3601,233,44.6
,57,70,67,55,3628,362,46.4,,,59,64,61,58,3540,236,45.6,,,53,69,65,53,3431,226,44.1,,,54,52,48,40,2006,802,40,,,55,70,67,55,3652,198,44.9
,58,70,67,55,3628,432,45.5,,,60,64,61,58,3540,300,46.3,,,54,67,64,54,3405,213,43.5,,,55,52,48,40,2006,854,39.5,,,56,69,66,56,3632,232,44.7
,59,68,64,59,3814,198,45.7,,,61,64,61,58,3540,364,45.5,,,55,65,61,55,3370,205,43.8,,,56,52,48,40,2006,906,38.9,,,57,67,63,57,3573,246,44.4
,60,68,64,59,3814,266,45.1,,,62,64,61,58,3540,428,46.6,,,56,64,60,56,3379,205,43.5,,,57,52,48,40,2006,958,38.8,,,58,65,62,58,3566,204,44.4
,61,63,60,61,3574,269,45.7,,,63,64,61,58,3540,492,45.6,,,57,63,59,57,3356,235,43.6,,,58,52,48,40,2006,1010,39,,,59,63,59,59,3506,211,44.3
,62,63,60,61,3574,332,45.6,,,64,63,59,64,3760,272,45.8,,,58,63,59,57,3356,298,43.7,,,59,52,48,40,2006,1062,38.3,,,60,63,59,59,3506,274,44.5
,63,63,60,61,3574,395,45.7,,,65,63,59,64,3760,335,46.3,,,59,59,55,59,3230,251,48.6,,,60,52,48,40,2006,1114,39.5,,,61,63,59,59,3506,337,44.5
,64,60,56,64,3565,275,45.6,,,66,61,58,66,3831,195,49.9,,,60,58,54,60,3257,223,46.6,,,61,51,47,61,2500,611,38.5,,,62,60,56,62,3513,207,44.2
,65,60,56,64,3565,335,45.3,,,67,57,53,67,3578,241,45,,,61,58,54,60,3257,281,47.5,,,62,50,46,62,2858,242,39.5,,,63,60,56,62,3513,267,44.3
,66,60,56,64,3565,395,45.4,,,68,57,53,67,3578,298,45.5,,,62,58,54,60,3257,339,46.3,,,63,50,46,62,2858,292,38.9,,,64,58,54,64,3499,213,44.3
,67,60,56,64,3565,455,46.3,,,69,57,53,67,3578,355,46.5,,,63,58,54,60,3257,397,44.8,,,64,50,46,62,2858,342,38.6,,,65,58,54,64,3499,271,44
,68,58,54,68,3481,463,45.6,,,70,55,51,70,3577,273,46.2,,,64,58,54,60,3257,455,44.8,,,65,49,46,65,2956,229,39.3,,,66,58,54,64,3499,329,44.3
,69,57,54,69,3633,300,48.7,,,71,55,51,70,3577,328,51.7,,,65,58,54,60,3257,513,44.2,,,66,49,46,65,2956,278,40.2,,,67,58,54,64,3499,387,45.8
,70,57,54,69,3633,357,46,,,72,55,51,70,3577,383,69.9,,,66,58,54,60,3257,571,45.4,,,67,46,43,67,2847,235,37.9,,,68,58,54,64,3499,445,44.2
,71,57,54,69,3633,414,45.8,,,73,55,51,70,3577,438,54.6,,,67,56,52,67,3458,294,44.3,,,68,46,43,67,2847,281,38.8,,,69,55,52,69,3460,335,44.4
,72,55,51,72,3653,307,46,,,74,55,51,70,3577,493,45.1,,,68,55,51,68,3407,333,44.4,,,69,46,43,67,2847,327,39,,,70,55,52,69,3460,390,44.2
,73,55,51,72,3653,362,46.9,,,75,55,51,70,3577,548,45.7,,,69,53,49,69,3362,295,44.9,,,70,45,41,70,2859,291,38.7,,,71,55,52,69,3460,445,44
,74,53,49,74,3647,275,46.7,,,76,53,49,76,3714,314,45,,,70,53,49,69,3362,348,45.2,,,71,44,40,71,2862,262,38.4,,,72,55,52,69,3460,500,44.4
,75,53,49,74,3647,328,47.9,,,77,52,48,77,3688,316,51.6,,,71,53,49,69,3362,401,45,,,72,44,40,71,2862,306,38.9,,,73,54,50,73,3621,321,44.1
